Bib	Wave	Team	Start	End	Num Laps	Laps Started																
710	3	M40S	6:19:33	11:42:52	4	4	6:19:32	7:13:38	7:13:38	8:16:18	8:16:18	9:59:15	9:59:16	11:42:52								
541	2	M20S	6:17:29	null	4	2	6:17:29	7:13:52	7:15:29	null												
732	3	M40S	6:19:47	10:26:56	4	4	6:19:47	7:14:09	7:14:09	8:16:12	8:16:12	9:17:33	9:17:33	10:26:56								
753	2	M20S	6:17:31	11:34:28	4	4	6:17:31	7:15:14	7:15:15	8:24:24	8:24:25	9:46:43	9:46:43	11:34:28								
766	3	M40S	6:19:39	11:15:47	4	4	6:19:39	7:15:23	7:15:24	8:14:26	8:14:26	9:43:07	9:43:07	11:15:47								
657	1	M30S	6:15:22	10:32:02	4	4	6:15:22	7:15:42	7:15:42	8:12:44	8:12:44	9:19:11	9:19:12	10:32:02								
622	1	M30S	6:14:38	null	4	3	6:14:38	7:16:08	7:16:08	8:51:33	8:51:33	null										
786	1	M30S	6:14:28	10:59:27	4	4	6:14:28	7:16:15	7:16:16	8:25:15	8:25:15	9:37:44	9:37:44	10:59:27								
594	1	M30S	6:14:53	11:53:23	4	4	6:14:53	7:16:25	7:16:26	8:28:47	8:28:48	10:18:35	10:18:35	11:53:23								
630	1	M30S	6:15:20	11:56:35	4	4	6:15:20	7:16:35	7:16:35	8:29:13	8:29:13	10:13:49	10:13:49	11:56:35								
761	1	M30S	6:14:32	10:57:16	4	4	6:14:32	7:16:37	7:16:37	8:26:23	8:26:23	9:35:22	9:35:22	10:57:16								
788	1	M30S	6:22:50	10:34:15	4	4	6:22:49	7:17:03	7:17:03	8:11:04	8:11:04	9:13:57	9:13:57	10:34:15								
505	4	F30S	6:22:40	10:02:45	4	4	6:22:40	7:17:20	7:17:20	8:09:50	8:09:50	9:05:17	9:05:19	10:02:45								
810	1	M30S	6:14:50	11:40:28	4	4	6:14:50	7:17:59	7:17:59	8:25:51	8:25:51	10:11:32	10:11:32	11:40:28								
62	1	M30S	6:17:34	9:55:05	4	4	6:17:34	7:18:08	7:18:08	8:25:18	8:25:18	9:55:05	9:55:07	null								
762	4	F30S	6:22:39	9:32:56	4	4	6:22:40	7:19:07	7:19:07	8:20:04	8:20:04	9:32:56	9:32:58	null								
624	1	M30S	6:15:45	11:34:12	4	4	6:15:45	7:21:02	7:21:02	8:35:43	8:35:43	9:57:38	10:00:42	11:34:12								
728	3	M40S	6:19:34	10:59:49	4	4	6:19:34	7:22:22	7:22:23	8:30:18	8:30:18	9:42:16	9:42:16	10:59:49								
802	1	M30S	6:15:25	null	4	4	6:15:25	7:22:32	7:22:33	8:37:56	8:37:57	10:48:25	10:48:25	null								
608	1	M30S	6:14:34	11:44:32	4	4	6:14:33	7:22:54	7:22:54	8:27:45	8:27:45	10:05:05	10:05:05	11:44:32								
749	2	M20S	6:17:23	8:34:13	4	4	6:17:23	6:50:35	6:50:36	7:23:45	7:23:45	7:58:36	7:58:38	8:34:13								
640	1	M30S	6:14:23	8:37:25	4	4	6:14:23	6:48:50	6:48:50	7:24:06	7:24:06	8:00:25	8:00:26	8:37:25								
646	2	M20S	6:18:01	12:10:50	4	4	6:18:01	7:24:20	7:24:20	8:37:52	8:37:52	10:05:08	10:05:08	12:10:50								
546	2	M20S	6:17:24	8:38:00	4	4	6:17:24	6:51:16	6:51:16	7:25:13	7:25:13	8:01:25	8:01:25	8:38:00								
534	2	M20S	6:17:29	11:35:46	4	4	6:17:29	7:27:00	7:27:01	8:39:59	8:40:00	9:58:34	9:58:34	11:35:46								
688	3	M40S	6:27:48	10:58:26	4	4	6:27:47	7:27:10	7:27:10	8:35:55	8:35:55	9:38:20	9:38:20	10:58:26								
567	1	M30S	6:15:27	null	4	4	6:15:27	7:29:34	7:29:34	9:27:58	9:27:58	11:13:26	11:13:26	null								
